一切都好|| 评分：6.4|| 导演: 张猛|| 主演: 张国立 / 姚晨 / 窦骁|| 类型: 剧情 / 家庭|| 制片国家/地区: 中国大陆|| 年份: 2016
小门神|| 评分：6.8|| 导演: 王微|| 主演: 高晓松 / 白客 / 易小星|| 类型: 喜剧 / 动画 / 奇幻|| 制片国家/地区: 中国大陆|| 年份: 2016
皇帝的新装之圣诞大明星|| 评分：2.3|| 导演: 李霞|| 类型: 喜剧 / 动画|| 制片国家/地区: 中国大陆|| 年份: 2016
冰美人|| 评分：4.9|| 导演: 周艾民 / 弗拉基米尔·缅绍夫|| 主演: 维纳格拉多娃·卡捷琳娜 / 安德烈·拉泽夫 / 水原碧衣|| 类型: 爱情 / 战争|| 制片国家/地区: 中国大陆/俄罗斯|| 年份: 2016
神探夏洛克：可恶的新娘 Sherlock: The Abominable Bride|| 评分：6.9|| 导演: 道格拉斯·麦金农|| 主演: 本尼迪克特·康伯巴奇 / 马丁·弗瑞曼 / 尤娜·斯塔布斯|| 类型: 剧情 / 犯罪 / 悬疑|| 制片国家/地区: 英国|| 年份: 2016
舌尖上的新年|| 评分：8.4|| 导演: 陈磊 / 邓洁 / 李勇|| 主演: 李立宏|| 类型: 纪录片|| 制片国家/地区: 中国大陆|| 年份: 2016
荒村怨灵|| 评分：2.7|| 导演: 张少军|| 主演: 王小毅 / 黄白露 / 徐少强|| 类型: 惊悚|| 制片国家/地区: 中国大陆|| 年份: 2016
星球大战7：原力觉醒 Star Wars: The Force Awakens|| 评分：7.1|| 导演: J·J·艾布拉姆斯|| 主演: 黛西·雷德利 / 约翰·博耶加 / 哈里森·福特|| 类型: 动作 / 科幻 / 冒险|| 制片国家/地区: 美国|| 年份: 2015
不是钱的事|| 评分：5.0|| 导演: 田玉奎|| 主演: 宋晨 / 王俪颖 / 李昊儒|| 类型: 剧情|| 制片国家/地区: 中国大陆|| 年份: 2016
通灵神探 Solace|| 评分：6.3|| 导演: 阿方索·博亚尔特|| 主演: 安东尼·霍普金斯 / 科林·法瑞尔 / 杰弗里·迪恩·摩根|| 类型: 科幻 / 犯罪 / 悬疑 / 惊悚|| 制片国家/地区: 美国|| 年份: 2015
最后的巫师猎人 The Last Witch Hunter|| 评分：5.8|| 导演: 布瑞克·埃斯纳尔|| 主演: 范·迪塞尔 / 伊莱贾·伍德 / 露丝·莱斯利|| 类型: 动作 / 奇幻 / 冒险|| 制片国家/地区: 美国|| 年份: 2015
消失爱人|| 评分：4.8|| 导演: 黄真真|| 主演: 黎明 / 王珞丹 / 林俊杰|| 类型: 爱情 / 悬疑|| 制片国家/地区: 中国大陆|| 年份: 2016
极限挑战之皇家宝藏|| 评分：4.4|| 导演: 任静 / 严敏|| 主演: 黄渤 / 孙红雷 / 黄磊|| 类型: 喜剧 / 悬疑|| 制片国家/地区: 中国大陆|| 年份: 2016
恋爱教父之三个“坏”家伙|| 评分：3.2|| 导演: 周智勇|| 主演: 明道 / 应采儿 / 钱枫|| 类型: 喜剧 / 爱情|| 制片国家/地区: 中国大陆|| 年份: 2016
国酒|| 评分：3.2|| 导演: 宋江波|| 主演: 黄奕 / 范逸臣 / 赵文瑄|| 类型: 剧情|| 制片国家/地区: 中国大陆|| 年份: 2016
我很帅|| 评分：2.3|| 导演: 王漪钏 / 黄海|| 主演: 刘超 / 尹航 / 鹤昀|| 类型: 剧情 / 喜剧|| 制片国家/地区: 中国大陆|| 年份: 2016
熊出没之熊心归来|| 评分：6.2|| 导演: 丁亮 / 林永长|| 主演: 张伟 / 张秉君 / 谭笑|| 类型: 喜剧 / 动画 / 冒险|| 制片国家/地区: 中国大陆|| 年份: 2016
云中行走 The Walk|| 评分：7.6|| 导演: 罗伯特·泽米吉斯|| 主演: 约瑟夫·高登-莱维特 / 本·金斯利 / 夏洛特·勒·邦|| 类型: 剧情 / 传记 / 冒险|| 制片国家/地区: 美国|| 年份: 2015
真相禁区|| 评分：4.5|| 导演: 麦咏麟|| 主演: 任达华 / 霍建华 / 张赫|| 类型: 犯罪 / 悬疑|| 制片国家/地区: 中国大陆|| 年份: 2016
爱在深秋 愛在深秋|| 评分：4.1|| 导演: 林家威|| 主演: 温碧霞 / 谭耀文 / 赵炳锐|| 类型: 爱情|| 制片国家/地区: 香港|| 年份: 2016
恶灵之门|| 评分：3.5|| 导演: 郭大雷|| 主演: 莫少聪 / 朱珠 / 陈廷嘉|| 类型: 剧情 / 悬疑 / 恐怖|| 制片国家/地区: 中国大陆|| 年份: 2016
爸爸我来救你了|| 评分：2.2|| 导演: 叶田|| 主演: 钱枫 / 刘汉强 / 李尚翼|| 类型: 儿童 / 喜剧 / 动作 / 冒险 / 家庭|| 制片国家/地区: 中国大陆|| 年份: 2016
请把你的窗户打开|| 评分：4.0|| 导演: 江流|| 主演: 杨心仪 / 胡玺龙 / 幺依田|| 类型: 剧情 / 家庭|| 制片国家/地区: 中国大陆|| 年份: 2016
一家老小向前冲|| 评分：3.6|| 导演: 李平|| 主演: 彭宇 / 柳岩 / 杜海涛|| 类型: 剧情 / 喜剧|| 制片国家/地区: 中国大陆|| 年份: 2016
谎言大爆炸|| 评分：4.6|| 导演: 侯亮|| 主演: 孙坚 / 白冰 / 潘霜霜|| 类型: 喜剧 / 悬疑|| 制片国家/地区: 中国大陆|| 年份: 2016
蜜月酒店杀人事件|| 评分：3.4|| 导演: 张哲洙|| 主演: 张静初 / 何润东 / 金永敏|| 类型: 剧情 / 悬疑|| 制片国家/地区: 中国大陆/韩国|| 年份: 2016
糖果世界大冒险|| 评分：4.5|| 导演: 徐克|| 主演: 黄莺 / 李正翔 / 张欣|| 类型: 动画 / 奇幻 / 冒险|| 制片国家/地区: 中国大陆|| 年份: 2016
小蚂蚁之环球大冒险|| 评分：4.0|| 导演: 孟文龙 / 管霄超 / 汤华宝|| 主演: 胡严彦 / 刘沛 / 李晶|| 类型: 喜剧 / 动画 / 冒险|| 制片国家/地区: 中国大陆|| 年份: 2016
妖医|| 评分：3.6|| 导演: 吴宗强|| 主演: 宝儿 / 谭耀文 / 吕聿来|| 类型: 悬疑 / 惊悚 / 恐怖|| 制片国家/地区: 中国大陆/泰国|| 年份: 2016
山那边有匹马|| 评分：5.3|| 导演: 白海滨|| 主演: 黄璐 / 韦再忠|| 类型: 剧情|| 制片国家/地区: 中国大陆|| 年份: 2016
水果宝贝之水果总动员|| 评分：2.6|| 导演: 杨劲松 / 梁董龙 / 刘平劼 / 陆伟|| 主演: 祖晴 / 明婧 / 小玉|| 类型: 喜剧 / 动画|| 制片国家/地区: 中国大陆|| 年份: 2016
斗龙战士之星印罗盘|| 评分：3.1|| 导演: 黎东泰|| 类型: 动画 / 奇幻|| 制片国家/地区: 中国大陆|| 年份: 2016
动植物大战|| 评分：2.6|| 导演: 范文彬|| 主演: 苏子芜 / 江月 / 苏俣|| 类型: 动画|| 制片国家/地区: 中国大陆|| 年份: 2016
X战警：天启 X-Men: Apocalypse|| 评分：7.7|| 导演: 布莱恩·辛格|| 主演: 詹姆斯·麦卡沃伊 / 迈克尔·法斯宾德 / 詹妮弗·劳伦斯|| 类型: 动作 / 科幻 / 奇幻 / 冒险|| 制片国家/地区: 美国|| 年份: 2016
记忆碎片|| 评分：3.9|| 导演: 朴裕焕|| 主演: 雷佳音 / 夏梓桐 / 李菁|| 类型: 喜剧 / 悬疑|| 制片国家/地区: 中国大陆|| 年份: 2016
死亡游戏|| 评分：3.0|| 导演: 麦子|| 主演: 徐洁儿 / 陈欢 / 陈炳强|| 类型: 惊悚 / 恐怖|| 制片国家/地区: 中国大陆|| 年份: 2016
提款机|| 评分：5.2|| 导演: 任海曜|| 主演: 夏雨 / 鲍起静 / 邵美琪|| 类型: 剧情 / 喜剧|| 制片国家/地区: 香港|| 年份: 2016
魔兽 Warcraft|| 评分：7.7|| 导演: 邓肯·琼斯|| 主演: 崔维斯·费米尔 / 托比·凯贝尔 / 宝拉·巴顿|| 类型: 动作 / 奇幻 / 冒险|| 制片国家/地区: 美国/中国大陆/加拿大/日本|| 年份: 2016
泰迪熊之玩具大战|| 评分：2.4|| 导演: 胡韵|| 主演: 邓小婷 / 赵奔 / 白文显|| 类型: 喜剧 / 动画|| 制片国家/地区: 中国大陆|| 年份: 2016
我们毕业啦|| 评分：2.7|| 导演: 程中豪 / 王凯|| 主演: 童菲 / 高泰宇 / 谢樱斐|| 类型: 喜剧 / 爱情|| 制片国家/地区: 中国大陆|| 年份: 2016
